[  905.069244] task name : systemd , state : 258 , pid : 1 
[  905.069448] task name : xfce4-session , state : 1 , pid : 1052 
[  905.069451] task name : xfconfd , state : 1 , pid : 1056 
[  905.069453] task name : xfwm4 , state : 1 , pid : 1063 
[  905.069455] task name : xfce4-panel , state : 1 , pid : 1067 
[  905.069457] task name : Thunar , state : 1 , pid : 1069 
[  905.069459] task name : xfdesktop , state : 1 , pid : 1071 
[  905.069461] task name : xfsettingsd , state : 1 , pid : 1073 
[  905.069463] task name : update-notifier , state : 1 , pid : 1082 
[  905.069465] task name : at-spi-bus-laun , state : 1 , pid : 1098 
[  905.069467] task name : dbus-daemon , state : 1 , pid : 1114 
[  905.069469] task name : blueman-applet , state : 1 , pid : 1119 
[  905.069471] task name : at-spi2-registr , state : 1 , pid : 1123 
[  905.069473] task name : gvfsd , state : 1 , pid : 1149 
[  905.069475] task name : gvfsd-fuse , state : 1 , pid : 1158 
[  905.069477] task name : nm-applet , state : 1 , pid : 1173 
[  905.069480] task name : polkit-gnome-au , state : 1 , pid : 1202 
[  905.069482] task name : applet.py , state : 1 , pid : 1254 
[  905.069484] task name : light-locker , state : 1 , pid : 1260 
[  905.069486] task name : pulseaudio , state : 1 , pid : 1271 
[  905.069488] task name : dconf-service , state : 1 , pid : 1283 
[  905.069490] task name : rtkit-daemon , state : 1 , pid : 1305 
[  905.069492] task name : xfce4-power-man , state : 1 , pid : 1308 
[  905.069494] task name : upowerd , state : 1 , pid : 1315 
[  905.069496] task name : xfce4-notifyd , state : 1 , pid : 1318 
[  905.069498] task name : panel-1-whisker , state : 1 , pid : 1338 
[  905.069501] task name : gvfs-udisks2-vo , state : 1 , pid : 1340 
[  905.069503] task name : panel-4-systray , state : 1 , pid : 1348 
[  905.069505] task name : gvfs-gphoto2-vo , state : 1 , pid : 1349 
[  905.069507] task name : panel-5-notific , state : 1 , pid : 1352 
[  905.069509] task name : panel-6-indicat , state : 1 , pid : 1353 
[  905.069511] task name : panel-7-statusn , state : 1 , pid : 1354 
[  905.069513] task name : panel-8-power-m , state : 1 , pid : 1355 
[  905.069515] task name : panel-9-pulseau , state : 1 , pid : 1359 
[  905.069517] task name : gvfs-mtp-volume , state : 1 , pid : 1360 
[  905.069519] task name : gvfs-goa-volume , state : 1 , pid : 1364 
[  905.069521] task name : gvfs-afc-volume , state : 1 , pid : 1368 
[  905.069524] task name : gvfsd-trash , state : 1 , pid : 1386 
[  905.069526] task name : gvfsd-metadata , state : 1 , pid : 1392 
[  905.069528] task name : indicator-messa , state : 1 , pid : 1405 
[  905.069530] task name : obexd , state : 1 , pid : 1438 
[  905.069532] task name : xfce4-terminal , state : 1 , pid : 1444 
[  905.069534] task name : sublime_text , state : 1 , pid : 1576 
[  905.069536] task name : plugin_host , state : 1 , pid : 1599 
[  905.069538] task name : firefox , state : 1 , pid : 1839 
[  905.069540] task name : Web Content , state : 1 , pid : 1881 
[  905.069543] task name : WebExtensions , state : 1 , pid : 1908 
[  905.069545] task name : Web Content , state : 1 , pid : 1934 
[  905.069547] task name : Web Content , state : 1 , pid : 1986 
[  905.069549] task name : dhclient , state : 1 , pid : 2013 
[  905.069551] task name : tumblerd , state : 1 , pid : 2054 
[  905.069553] task name : bash , state : 1 , pid : 2081 
[  905.069555] task name : sudo , state : 1 , pid : 2092 
[  905.069557] task name : insmod , state : 0 , pid : 2093 
[  905.069559] task name : systemd-udevd , state : 258 , pid : 2094 
